DATE,TMAX,TMIN,PRCP,SNWD
2024-03-02,79.7936,68.6336,0.027559055,0.0
2024-03-03,82.6736,67.6436,1.1259842,0.0
2024-03-04,81.3236,64.9436,0.06692913,0.0
2024-03-05,82.5836,66.9236,0.007874016,0.0
2024-03-06,78.803604,66.2036,0.53543305,0.0
2024-03-07,78.7136,65.7536,0.45669293,0.0
2024-03-08,84.293594,67.373604,0.027559055,0.0
2024-03-09,84.1136,73.4936,0.074803144,0.0
2024-03-10,86.4536,70.7036,0.023622047,0.0
2024-03-11,77.4536,61.8836,0.0,0.0
2024-03-12,78.9836,62.9636,0.0,0.0
2024-03-13,81.6836,62.9636,0.0,0.0
2024-03-14,82.6736,66.6536,0.0,0.0
2024-03-15,83.3936,68.9936,0.0,0.0
2024-03-16,87.623604,67.1936,0.019685041,0.0
2024-03-17,87.263596,69.1736,0.015748031,0.0
2024-03-18,88.0736,69.263596,0.055118114,0.0
2024-03-19,78.1736,64.0436,0.07480316,0.0
2024-03-20,78.803604,58.5536,0.0,0.0
2024-03-21,80.3336,63.863598,,
2024-03-22,,,,
