DATE,TMAX,TMIN,PRCP,SNWD
2024-03-02,79.053795,48.9038,0.0,0.0
2024-03-03,81.3938,60.693798,0.003937008,0.0
2024-03-04,84.2738,65.733795,0.01968504,0.0
2024-03-05,86.5238,59.0738,0.0,0.0
2024-03-06,83.4638,55.7438,0.0,0.0
2024-03-07,76.3538,62.943798,0.23228346,0.0
2024-03-08,80.4938,55.5638,0.37401575,0.0
2024-03-09,64.2938,45.1238,0.0,0.0
2024-03-10,64.4738,44.673798,0.0,0.0
2024-03-11,76.803795,47.7338,0.0,0.0
2024-03-12,77.8838,54.5738,0.003937008,0.0
2024-03-13,85.5338,63.6638,0.015748031,0.0
2024-03-14,84.90379,69.5138,0.07086614,0.0
2024-03-15,78.15379,64.7438,0.31496066,0.0
2024-03-16,74.9138,62.583797,0.12992126,0.0
2024-03-17,70.053795,60.693798,0.08267716,0.0
2024-03-18,65.553795,52.5038,0.0,0.0
2024-03-19,61.503796,45.8438,0.0,0.0
2024-03-20,66.2738,46.3838,0.0,0.0
2024-03-21,70.7738,58.8938,,
2024-03-22,,,,
