DATE,TMAX,TMIN,PRCP,SNWD
2024-03-02,50.3294,35.3894,1.1062992,0.0
2024-03-03,65.0894,43.0394,0.0,0.0
2024-03-04,57.7994,38.7194,0.0,0.0
2024-03-05,46.2794,38.8094,0.8385827,0.0
2024-03-06,49.5194,39.3494,1.2244095,0.0
2024-03-07,54.289402,42.0494,0.18110237,0.0
2024-03-08,54.289402,33.1394,0.0,0.0
2024-03-09,45.4694,38.2694,1.2204725,0.0
2024-03-10,51.0494,35.7494,0.7637795,0.0
2024-03-11,49.1594,33.7694,0.0,0.0
2024-03-12,62.6594,36.6494,0.0,0.0
2024-03-13,59.7794,36.1094,0.0,0.0
2024-03-14,69.499405,38.9894,0.0,0.0
2024-03-15,69.5894,46.4594,0.0,0.0
2024-03-16,57.2594,40.249397,0.0,0.0
2024-03-17,59.4194,44.8394,0.027559057,0.0
2024-03-18,47.719402,36.1994,0.0,0.0
2024-03-19,44.749397,32.5994,0.019685041,0.027559055
2024-03-20,51.5894,33.8594,0.051181108,0.0
2024-03-21,41.1494,25.3094,,
2024-03-22,,,,
